,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
35,MOFReinforce_selectivity_rob+N491+12,-1.646484375,9.625,,0.09918212890625,,0.496826171875,,0.87451171875,0.18212890625,,4.4609375,,4.57421875,,2.50390625,,0.345947265625,,MOFReinforce_selectivity
2,MOFFusion_h2_bcu-g+N583+E25,-0.367431640625,4.69921875,1.2375715923814614,0.06793212890625,0.0367630303,0.1998291015625,0.22722413,0.869140625,0.2139892578125,0.1836048366,3.4140625,3.82179881,3.56640625,4.72655482,1.8388671875,1.96838727,0.129150390625,0.1904610997,MOFFusion_h2
51,MOFDIFF_optimized_CO2-N2-selectivity_15_100_seed_123_sample_27,-1.6474609375,26.765625,,0.264892578125,,1.4609375,,0.865234375,0.293701171875,,5.625,,5.95703125,,3.056640625,,1.046875,,MOFDIFF_optimized_CO2-N2-selectivity
408,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_51,-0.494384765625,11.9296875,1.6626720648675049,0.13232421875,0.0796217251,0.91357421875,0.5240232382,0.853515625,0.27978515625,0.3151693285,4.94140625,4.80448794,4.8984375,5.08198845,2.876953125,2.8930472,0.66162109375,0.4444015131,MOFDIFF_optimized_working-capacity-vacuum-swing
158,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_20,-1.33984375,8.4375,1.3432508614569347,0.11480712890625,0.0541350935,0.52197265625,0.3035103476,0.841796875,0.25927734375,0.225952096,4.12890625,4.14228347,4.34375,4.5458349700000005,2.1640625,2.12075933,0.4326171875,0.2493752541,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K
89,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_70,-0.73046875,16.234375,1.9968401093803327,0.11431884765625,0.0815147135,0.8740234375,0.5328813579,0.82666015625,0.251220703125,0.2668623068,5.0625,4.99398148,5.32421875,5.29328357,2.7109375,2.8439566,0.58935546875,0.4513666444,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K
6,MOFFusion_uncond_cap+N441+E160,-1.1962890625,6.2421875,,0.0740966796875,,0.33642578125,,0.81396484375,0.1893310546875,,3.716796875,,4.234375,,2.21875,,0.1351318359375,,MOFFusion_uncond
28,MOFFusion_uncond_pcu+N491+E189,-1.49609375,5.1875,0.7490148530473751,0.09161376953125,0.04005875,0.22509765625,0.1709588448,0.80126953125,0.2161865234375,0.2282449328,3.244140625,3.4089526,3.1953125,3.66907064,2.06640625,2.08922089,0.139404296875,0.1309000948,MOFFusion_uncond
58,MOFFusion_uncond_vbj+N482+E15,-1.3515625,5.1015625,0.7475083057192016,0.055633544921875,0.0269125826,0.1549072265625,0.1113624107,0.79150390625,0.1497802734375,0.1489781583,3.525390625,3.27688837,3.658203125,3.46245992,1.962890625,1.89287522,0.1256103515625,0.0844498281,MOFFusion_uncond
415,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_40,-1.0068359375,6.28125,1.1237673290917494,0.102294921875,0.0507740505,0.4189453125,0.2801658661,0.78857421875,0.27490234375,0.2493094957,3.978515625,3.81432528,4.328125,4.21715022,2.294921875,2.20026268,0.281494140625,0.2293918156,MOFDIFF_optimized_working-capacity-vacuum-swing
204,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_12,-1.40234375,9.6796875,1.8051305132556623,0.1324462890625,0.0689596929,0.6640625,0.545019366,0.7744140625,0.29638671875,0.3019279559,4.4765625,4.71226023,4.58203125,5.57989715,2.537109375,2.61122079,0.4931640625,0.4760596731,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
3,MOFReinforce_selectivity_bnn+N300+15,-0.1636962890625,5.046875,,0.0733642578125,,0.2384033203125,,0.76806640625,0.242431640625,,3.455078125,,3.703125,,1.9091796875,,0.12353515625,,MOFReinforce_selectivity
0,MOFFusion_uncond_alb+N328+N358+E12,-0.3232421875,4.7578125,,0.083740234375,,0.2484130859375,,0.76416015625,0.2271728515625,,3.361328125,,3.916015625,,1.8251953125,,0.13818359375,,MOFFusion_uncond
