,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
39,MOFReinforce_c02_tfz-d+N131+23,-1.3896484375,9.46875,7.503488519402404,0.0782470703125,0.1538951786,0.515625,1.286992763,0.055938720703125,0.21142578125,0.1715192553,4.97265625,6.40529321,4.9765625,6.184536079999999,2.880859375,2.65983817,0.431396484375,1.1330975844,MOFReinforce_c02
0,MOFReinforce_c02_acs+N442+20,-0.333251953125,6.80078125,8.93932172067588,0.060760498046875,0.2394283393,0.1893310546875,1.3320574486,0.468017578125,0.142578125,0.1490110201,3.482421875,6.75377194,3.99609375,5.92431766,2.2578125,2.42631127,0.1334228515625,1.0926291093,MOFReinforce_c02
41,MOFReinforce_c02_tfz-d+N131+26,-1.59765625,9.7578125,6.903397160631977,0.0640869140625,0.1242079818,0.392578125,1.1861098168,0.33203125,0.2060546875,0.1718153815,4.5625,6.54226411,4.84765625,6.07445029,2.7265625,2.61205968,0.362060546875,1.061901835,MOFReinforce_c02
19,MOFReinforce_c02_hex+N131+28,-1.2646484375,12.96875,4.440647482166875,0.09564208984375,0.1236939082,0.45263671875,1.1261071508,-0.1839599609375,0.2244873046875,0.2535907557,4.97265625,6.08655086,5.203125,6.196380919999999,3.1875,3.20089832,0.466064453125,1.0024132426,MOFReinforce_c02
50,MOFReinforce_c02_tfz-d+N131+67,-1.1494140625,8.765625,6.382868527622125,0.07080078125,0.1103135898,0.42236328125,1.0229600742,0.03656005859375,0.2191162109375,0.1602665118,4.64453125,6.20082632,5.05859375,6.21455687,2.79296875,2.93132066,0.304931640625,0.9126464844,MOFReinforce_c02
48,MOFReinforce_c02_tfz-d+N131+55,-1.296875,11.2421875,5.554043503457161,0.080078125,0.1324668923,0.5,1.0315595091,0.2056884765625,0.2281494140625,0.185731262,4.78515625,6.01729105,5.26953125,6.079390419999999,2.837890625,2.91672015,0.38671875,0.8990926168000001,MOFReinforce_c02
44,MOFReinforce_c02_tfz-d+N131+38,-1.3466796875,22.890625,6.268950853558827,0.1263427734375,0.1027304707,0.99462890625,0.9772460698,-1.962890625,0.1744384765625,0.1558867014,6.1171875,6.65765809,6.22265625,6.88512395,3.845703125,3.7954634,0.6640625,0.8745155991,MOFReinforce_c02
51,MOFReinforce_c02_tfz-d+N131+69,-1.431640625,11.890625,4.957635768838905,0.092529296875,0.1196708464,0.489013671875,0.9827214497,0.31591796875,0.2548828125,0.1982238098,4.59375,6.0354813400000005,4.95703125,6.19598418,2.791015625,2.96392982,0.433837890625,0.8630506032999999,MOFReinforce_c02
43,MOFReinforce_c02_tfz-d+N131+36,-1.4296875,30.734375,5.807061163152428,0.1898193359375,0.111653579,1.2392578125,0.8931776427,-1.9755859375,0.1712646484375,0.1538088919,6.9375,6.70970034,6.84375,6.656522839999999,4.34375,3.71459536,1.0087890625,0.7815240637,MOFReinforce_c02
42,MOFReinforce_c02_tfz-d+N131+27,-1.4189453125,10.2265625,4.997601917047151,0.0726318359375,0.0987977798,0.470458984375,0.8603467974,0.323486328125,0.2236328125,0.1721519264,4.58203125,5.8714891,4.92578125,5.937598889999999,2.724609375,2.72488441,0.466552734375,0.7615490175999999,MOFReinforce_c02
52,MOFReinforce_c02_tfz-d+N131+7,-1.359375,12.46875,4.59859312337983,0.064208984375,0.1027028424,0.544921875,0.8073709801,-0.390625,0.1982421875,0.175569127,4.98828125,5.9704829,5.078125,5.743301450000001,3.03515625,2.89434497,0.4521484375,0.7046681376999999,MOFReinforce_c02
